,0,1,2,3,4
0,NO.,Product Name,Quantity,Main Technical Data,Remarks
1,1,Electrical equipment,/,details please see the technical requirements,
2,1.1,Heating source plant -Electrical equipment cabinet,10 Sets,details please see the technical requirements,
3,1.1,Heating source plant - Cable and Power cable terminal of cold shrinkage type,29961 m,details please see the technical requirements,
4,1.1,Heating source plant -Intensive bus bridge,8 m,details please see the technical requirements,
5,2,Control system,/,details please see the technical requirements,
6,2.1,Boiler room field instrument- Instrument equipment,228 Sets,details please see the technical requirements,
7,2.1,Boiler room field instrument- Cable,14255 m,details please see the technical requirements,
8,2.2,Surveillance video system- Instrument equipment,2 Sets,details please see the technical requirements,
9,2.2,Surveillance video system- Cable and bridge,1103 m,details please see the technical requirements,
